gene,pearson_corr,pearson_pval,spearman_corr,spearman_pval,abs_pearson,abs_spearman
GENE_GENE_AP1S2,0.3206948,1.2383521968295764e-10,0.24120812281713064,1.7349401105757426e-06,0.3206948,0.24120812281713064
GENE_GENE_AGTPBP1,0.3115479,4.343149033991001e-10,0.24569105828896953,1.09499157176826e-06,0.3115479,0.24569105828896953
GENE_GENE_PSIP1,0.30601275,9.091660001002264e-10,0.18221809196025904,0.0003317152997963951,0.30601275,0.18221809196025904
GENE_GENE_ODC1,0.30197316,1.5438285507339063e-09,0.21891954325048318,1.5008616970646443e-05,0.30197316,0.21891954325048318
GENE_GENE_CEP170,0.29192698,5.563076235754252e-09,0.20453909667356143,5.394725177103518e-05,0.29192698,0.20453909667356143
GENE_GENE_TMEM55A,0.2881018,8.946961145040138e-09,0.24671892731675205,9.840926210145063e-07,0.2881018,0.24671892731675205
GENE_GENE_E2F3,0.27920836,2.6282022543461987e-08,0.233968414092435,3.5804524682122074e-06,0.27920836,0.233968414092435
GENE_GENE_FYN,0.27755338,3.198520289683607e-08,0.18985940625953682,0.00018224583453709474,0.27755338,0.18985940625953682
GENE_GENE_AGPAT5,0.27352118,5.1331610167447615e-08,0.21115191922959547,3.0279880344756026e-05,0.27352118,0.21115191922959547
GENE_GENE_RAB33A,0.2726493,5.68030736071244e-08,0.2121708741649995,2.7656629011551915e-05,0.2726493,0.2121708741649995
GENE_GENE_CDK5R1,0.27204764,6.090245691492494e-08,0.25888109931843617,2.6832590175952346e-07,0.27204764,0.25888109931843617
GENE_GENE_RRAGD,0.2712053,6.712445899771609e-08,0.24258735715981147,1.5073112239463909e-06,0.2712053,0.24258735715981147
GENE_GENE_STX2,0.26080638,2.1709769882870495e-07,0.19042801193584483,0.00017413755816174476,0.26080638,0.19042801193584483
GENE_GENE_TMEM170B,0.25694716,3.313961723719308e-07,0.21421938048896275,2.3020012391519868e-05,0.25694716,0.21421938048896275
GENE_GENE_TCF4,0.2568881,3.3352882269227236e-07,0.1826444932352243,0.0003210110851497643,0.2568881,0.1826444932352243
GENE_GENE_TMX4,0.25393575,4.5881946438887176e-07,0.20372762029093622,5.78364975112096e-05,0.25393575,0.20372762029093622
GENE_GENE_PRR3,0.2537441,4.6835549877338213e-07,0.19167224746532843,0.00015755884361320487,0.2537441,0.19167224746532843
GENE_GENE_NCAPG,0.25170684,5.822102702108567e-07,0.1909936506052694,0.00016640785152379224,0.25170684,0.1909936506052694
GENE_GENE_PDK1,0.2515257,5.935342883501627e-07,0.2140015174120918,2.3475652741912687e-05,0.2515257,0.2140015174120918
GENE_GENE_SMC3,0.2503094,6.7519741919407e-07,0.2172777287986165,1.7445870446378794e-05,0.2503094,0.2172777287986165
GENE_GENE_KLHL15,0.25005296,6.937505227684631e-07,0.17408997660303147,0.0006113405974573439,0.25005296,0.17408997660303147
GENE_GENE_NELL1,0.24760863,8.968671980339591e-07,0.29461573022277987,3.9665968791452644e-09,0.24760863,0.29461573022277987
GENE_GENE_ELAVL3,0.24730746,9.255343939888105e-07,0.22583330507612492,7.864259706283657e-06,0.24730746,0.22583330507612492
GENE_GENE_SEC11C,0.24530064,1.1401746664266165e-06,0.2691961106778339,8.454134630947965e-08,0.24530064,0.2691961106778339
GENE_GENE_POLR3D,0.24411635,1.2884371002156924e-06,0.19642115391136278,0.00010692671891937654,0.24411635,0.19642115391136278
GENE_GENE_ZNF708,0.24358629,1.3606129712925886e-06,0.19870108677223558,8.847754637335507e-05,0.24358629,0.19870108677223558
GENE_GENE_ATP6V1B2,0.24333724,1.395848094036243e-06,0.2069383455969618,4.3841571675475976e-05,0.24333724,0.2069383455969618
GENE_GENE_ACYP1,0.24229467,1.5530865015248835e-06,0.19600640873486827,0.00011064947110835636,0.24229467,0.19600640873486827
GENE_GENE_CCDC28B,0.2416376,1.660749600513816e-06,0.205243336950256,5.0773318568511384e-05,0.2416376,0.205243336950256
GENE_GENE_ZNF195,0.24058741,1.847786393660314e-06,0.22743591265131735,6.750306453974199e-06,0.24058741,0.22743591265131735
GENE_GENE_ME2,0.23996124,1.968743781522428e-06,0.124050345868231,0.015000894073324446,0.23996124,0.124050345868231
GENE_GENE_TSHZ1,0.23966584,2.0283989120464058e-06,0.2304648028211997,5.042397421481883e-06,0.23966584,0.2304648028211997
GENE_GENE_TUBA1A,0.23881263,2.2105631574639074e-06,0.18202502458377132,0.0003366706037363898,0.23881263,0.18202502458377132
